Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
16PY005022,12/3/2015 10:30,1,Chromium Total,107914,0.22,UG/L,0.01,,U
17PY005401,9/7/2016 15:10,1,Cobalt Total,107913,0.905,UG/L,0.002,,U
17PY005548,4/20/2016 13:10,1,Iron Total,107917,171,UG/L,0.5,,U
17PY005705,7/21/2016 7:30,1,Uranium Total,107935,0.498,UG/L,0.0005,,U
17PY005705,7/21/2016 7:30,1,Zinc Total,107939,6.7,UG/L,0.2,,U
17PY005900,3/24/2016 8:15,1,Sulphate Dissolved,16309,17500,UG/L,0.1,,U
17PY006104,4/4/2017 9:00,1,Beryllium Total,107909,0.007,UG/L,0.001,,U
17PY006227,4/26/2017 12:25,1,Chromium Total,107914,25.3,UG/L,0.02,,U
17PY006308,5/23/2017 3:05,1,pH,10301,7.8,PH,0.01,,U
17PY006308,5/23/2017 3:05,1,Silicon Dissolved,1175,800,UG/L,0.05,,U
17PY006323,6/14/2017 15:50,1,Chromium Total,107914,0.72,UG/L,0.02,,U
17PY006323,6/14/2017 15:50,1,Nickel Total,107924,2.95,UG/L,0.02,,U
17PY006323,6/14/2017 15:50,1,Sulphate Dissolved,8265,8990,UG/L,0.1,,U
07PY001469,12/2/2007 14:20,1,Silver Total,97997,0.001,UG/L,0.001,,U
07PY001443,9/9/2007 17:15,1,Bromide Dissolved,101535,50,UG/L,0.05,L,U
08PY001188,7/8/2008 17:36,1,Uranium Total,97528,0.442,UG/L,0.0005,,U
08PY001410,8/19/2008 17:10,1,Phosphorus Total,15406,72,UG/L,0.002,,U
08PY001412,8/22/2008 14:58,1,Iron Total,97511,592,UG/L,0.5,,U
08PY001412,8/22/2008 14:58,1,Calcium  extractable/unfiltered,1143,35000,UG/L,0.1,,U
08PY001439,9/16/2008 18:02,1,Uranium Total,97528,0.663,UG/L,0.0005,,U
08PY001439,9/16/2008 18:02,1,Sulphate Dissolved,16309,12100,UG/L,0.5,,U
08PY001523,11/26/2008 13:55,1,Zinc Total,97532,1.28,UG/L,0.05,,U
08PY001523,11/26/2008 13:55,1,pH,1075,7.68,PH,0.01,,U
14PY006056,6/18/2014 14:18,1,Niobium Total,107923,0.037,UG/L,0.001,,U
15PY005279,7/15/2014 10:20,1,Cobalt Total,107913,0.413,UG/L,0.002,,U
15PY005279,7/15/2014 10:20,1,Niobium Total,107923,0.015,UG/L,0.001,,U
15PY005300,8/13/2014 15:30,1,Barium Total,107908,56,UG/L,0.05,,U
15PY005300,8/13/2014 15:30,1,Chromium Total,107914,0.45,UG/L,0.01,,U
15PY005678,3/30/2015 9:50,1,Nitrogen Total,1130,740,UG/L,0.02,,U
15PY005678,3/30/2015 9:50,1,Phosphorus Total,15406,63.7,UG/L,0.0005,,U
15PY005692,4/20/2015 16:45,1,Colour True,2021,15,REL UNIT,2.5,,U
15PY005942,7/20/2015 10:05,1,Fluoride Dissolved,201836,110,UG/L,0.01,,U
15PY005942,7/20/2015 10:05,1,Calcium  extractable/unfiltered,1143,29700,UG/L,0.1,,U
15PY005952,8/19/2015 11:00,1,Temperature (water),1125,14,DEG C,,,U
16PY005022,12/3/2015 10:30,1,Temperature (water),1125,0.5,DEG C,,,U
15PY005692,4/20/2015 16:45,1,Nickel Total,107924,2.24,UG/L,0.02,,U
15PY005761,5/20/2015 15:00,1,Tin Total,107931,0.02,UG/L,0.005,,U
16PY005051,1/21/2016 9:25,1,Calcium  extractable/unfiltered,1143,44300,UG/L,0.1,,U
15PY006094,9/19/2015 9:00,1,Temperature (water),1125,4,DEG C,,,U
15PY006094,9/19/2015 9:00,1,Antimony Total,107929,0.1,UG/L,0.001,,U
16PY005022,12/3/2015 10:30,1,Tin Total,107931,0.005,UG/L,0.005,L,U
17PY005341,6/23/2016 13:15,1,Niobium Total,107923,0.03,UG/L,0.002,,U
17PY005705,7/21/2016 7:30,1,Lanthanum Total,107919,0.561,UG/L,0.001,,U
17PY005900,3/24/2016 8:15,1,Beryllium Total,107909,0.004,UG/L,0.001,,U
17PY005900,3/24/2016 8:15,1,Lithium Total,107920,4.26,UG/L,0.01,,U
17PY006104,4/4/2017 9:00,1,Niobium Total,107923,0.004,UG/L,0.002,,U
07PY001379,8/27/2007 16:35,1,Aluminum Total,97998,74.6,UG/L,0.2,,U
07PY001405,9/24/2007 17:32,1,Silver Total,97997,0.001,UG/L,0.001,L,U
07PY001405,9/24/2007 17:32,1,Rubidium Total,97521,0.4,UG/L,0.01,,U
07PY001443,9/9/2007 17:15,1,Fluoride Dissolved,201836,70,UG/L,0.01,,U
07PY001469,12/2/2007 14:20,1,Cobalt Total,97507,0.061,UG/L,0.002,,U
07PY001469,12/2/2007 14:20,1,Antimony Total,97522,0.082,UG/L,0.001,,U
08PY001335,7/29/2008 20:15,1,Beryllium Total,97503,0.042,UG/L,0.001,,U
08PY001335,7/29/2008 20:15,1,Colour True,2021,30,REL UNIT,2.5,,U
08PY001523,11/26/2008 13:55,1,Iron Total,97511,600,UG/L,0.5,,U
15PY005279,7/15/2014 10:20,1,Beryllium Total,107909,0.04,UG/L,0.001,,U
15PY005678,3/30/2015 9:50,1,Bromide Dissolved,101535,20,UG/L,0.02,L,U
15PY005891,2/24/2015 14:55,1,Iron Total,107917,477,UG/L,0.5,,U
15PY005678,3/30/2015 9:50,1,Cobalt Total,107913,1.5,UG/L,0.002,,U
15PY005761,5/20/2015 15:00,1,Barium Total,107908,169,UG/L,0.05,,U
15PY005761,5/20/2015 15:00,1,Nickel Total,107924,15.3,UG/L,0.02,,U
15PY005761,5/20/2015 15:00,1,Tungsten Total,107937,0.032,UG/L,0.001,,U
15PY005952,8/19/2015 11:00,1,Barium Total,107908,77.1,UG/L,0.05,,U
15PY005952,8/19/2015 11:00,1,Iron Total,107917,633,UG/L,0.5,,U
16PY005022,12/3/2015 10:30,1,Iron Total,107917,569,UG/L,0.5,,U
17PY005401,9/7/2016 15:10,1,Carbon Dissolved Inorganic,201144,16100,UG/L,0.3,,U
17PY005532,3/1/2016 13:15,1,Barium Total,107908,159,UG/L,0.05,,U
17PY005532,3/1/2016 13:15,1,Nickel Total,107924,2.46,UG/L,0.02,,U
17PY005532,3/1/2016 13:15,1,Calcium  extractable/unfiltered,1143,61400,UG/L,0.1,,U
17PY005321,5/19/2016 9:30,1,Cobalt Total,107913,1.68,UG/L,0.002,,U
17PY005321,5/19/2016 9:30,1,Iron Total,107917,2730,UG/L,0.5,,U
17PY005321,5/19/2016 9:30,1,Tungsten Total,107937,0.003,UG/L,0.001,,U
17PY005341,6/23/2016 13:15,1,Antimony Total,107929,0.13,UG/L,0.001,,U
17PY005341,6/23/2016 13:15,1,Specific Conductance,2041,139,USIE/CM,2,,U
17PY005341,6/23/2016 13:15,1,Sodium dissolved/filtered,1178,1000,UG/L,0.1,,U
17PY005705,7/21/2016 7:30,1,Barium Total,107908,73.2,UG/L,0.05,,U
17PY005705,7/21/2016 7:30,1,Silicon Dissolved,1175,1700,UG/L,0.05,,U
17PY005390,8/19/2016 9:15,1,Residue nonfilterable,1145,139000,UG/L,2,,U
17PY005390,8/19/2016 9:15,1,Lithium Total,107920,4.41,UG/L,0.01,,U
17PY005401,9/7/2016 15:10,1,Colour True,1963,65.8,CU,1,,U
17PY005900,3/24/2016 8:15,1,Lanthanum Total,107919,0.018,UG/L,0.001,,U
07PY001379,8/27/2007 16:35,1,Beryllium Total,97503,0.012,UG/L,0.001,,U
07PY001405,9/24/2007 17:32,1,Iron Total,97511,295,UG/L,0.5,,U
07PY001443,9/9/2007 17:15,1,Lithium Total,97514,7.8,UG/L,0.2,,U
07PY001469,12/2/2007 14:20,1,Beryllium Total,97503,0.005,UG/L,0.001,,U
07PY001469,12/2/2007 14:20,1,Fluoride Dissolved,201836,180,UG/L,0.01,,U
08PY001188,7/8/2008 17:36,1,Temperature (water),1125,20,DEG C,,,U
08PY001188,7/8/2008 17:36,1,pH,1075,7.59,PH,0.01,,U
08PY001335,7/29/2008 20:15,1,Aluminum Total,97998,410,UG/L,0.2,,U
08PY001335,7/29/2008 20:15,1,Boron Total,97501,4.4,UG/L,0.5,,U
08PY001523,11/26/2008 13:55,1,Silver Total,97997,0.002,UG/L,0.001,,U
08PY001523,11/26/2008 13:55,1,Beryllium Total,97503,0.012,UG/L,0.001,,U
08PY001523,11/26/2008 13:55,1,Fluoride Dissolved,201836,120,UG/L,0.01,,U
14PY006056,6/18/2014 14:18,1,Temperature (water),1125,14,DEG C,,,U
15PY005891,2/24/2015 14:55,1,Vanadium Total,107936,0.177,UG/L,0.005,,U
15PY005692,4/20/2015 16:45,1,Niobium Total,107923,0.001,UG/L,0.001,L,U
15PY005952,8/19/2015 11:00,1,Tungsten Total,107937,0.004,UG/L,0.001,,U
15PY005942,7/20/2015 10:05,1,Barium Total,107908,76.9,UG/L,0.05,,U
15PY005942,7/20/2015 10:05,1,Iron Total,107917,612,UG/L,0.5,,U
15PY005942,7/20/2015 10:05,1,Silver Total,107904,0.003,UG/L,0.001,,U
17PY005401,9/7/2016 15:10,1,Lanthanum Total,107919,0.638,UG/L,0.001,,U
17PY005401,9/7/2016 15:10,1,Nickel Total,107924,4.91,UG/L,0.02,,U
