Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
19PY000158,9/10/2018 9:05,1,Phosphorus Total Dissolved,15102,0.6,UG/L,0.0005,,U
19PY000201,1/13/2019 11:45,1,Manganese Total,107921,4810,UG/L,0.05,,U
19PY000672,4/14/2019 10:28,1,Calcium Dissolved,1180,73800,UG/L,0.1,,U
19PY000672,4/14/2019 10:28,1,Silicon Dissolved,1175,5500,UG/L,0.05,,U
19PY000784,5/12/2019 10:30,1,Bismuth Total,107910,0.003,UG/L,0.001,,U
19PY000784,5/12/2019 10:30,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
19PY000811,6/9/2019 10:15,1,Gallium Total,107918,0.024,UG/L,0.001,,U
19PY001308,8/18/2019 8:35,1,Lithium Total,107920,9.8,UG/L,0.01,,U
19PY001308,8/18/2019 8:35,1,Yttrium Total,107938,0.056,UG/L,0.001,,U
19PY001308,8/18/2019 8:35,1,Nitrogen Total,1130,310,UG/L,0.02,,U
20PY000068,9/15/2019 9:45,1,Arsenic Total,107906,0.27,UG/L,0.01,,U
20PY000147,7/21/2019 10:45,1,Chromium Total,107914,0.12,UG/L,0.02,,U
20PY000213,11/17/2019 9:45,1,Lithium Total,107920,15.5,UG/L,0.01,,U
20PY000213,11/17/2019 9:45,1,Phosphorus Total Dissolved,15102,0.5,UG/L,0.0005,L,U
20PY000226,12/15/2019 10:00,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
21PY000254,1/10/2021 12:00,1,Copper Total,107916,0.33,UG/L,0.03,,U
21PY000486,2/14/2021 11:30,1,Dissolved nitrogen nitrate,8266,262,UG/L,0.002,,U
21PY000486,2/14/2021 11:30,1,Vanadium Dissolved,107972,0.02,UG/L,0.01,,U
21PY000502,3/7/2021 10:50,1,Antimony Total,107929,0.055,UG/L,0.004,,U
21PY000502,3/7/2021 10:50,1,Barium Total,107908,60.8,UG/L,0.02,,U
21PY000523,4/11/2021 11:05,1,Cobalt Total,107913,0.273,UG/L,0.002,,U
21PY000595,11/16/2020 11:40,1,Nitrogen Total Dissolved,7657,250,UG/L,0.02,,U
21PY000595,11/16/2020 11:40,1,Silicon Dissolved,1175,5700,UG/L,0.05,,U
21PY000602,12/6/2020 11:15,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
21PY000602,12/6/2020 11:15,1,Yttrium Total,107938,0.043,UG/L,0.001,,U
21PY000887,9/12/2021 10:50,1,Carbon Dissolved Organic,201145,2100,UG/L,0.3,,U
21PY000887,9/12/2021 10:50,1,Copper Total,107916,0.71,UG/L,0.03,,U
19PY000158,9/10/2018 9:05,1,Calcium Dissolved,1180,63800,UG/L,0.1,,U
19PY000407,2/17/2019 12:40,1,Zinc Total,107939,107,UG/L,0.2,,U
19PY000576,3/10/2019 11:27,1,Temperature (air),97060,-0.6,DEG C,-100,,U
19PY000672,4/14/2019 10:28,1,Chromium Total,107914,0.1,UG/L,0.02,,U
19PY000784,5/12/2019 10:30,1,Yttrium Total,107938,0.215,UG/L,0.001,,U
19PY000784,5/12/2019 10:30,1,Dissolved nitrogen nitrate,8266,2,UG/L,0.002,L,U
19PY000811,6/9/2019 10:15,1,Sulphate Dissolved,8265,94400,UG/L,5,,U
20PY000068,9/15/2019 9:45,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
20PY000077,10/7/2019 12:25,1,Calcium Dissolved,1180,112000,UG/L,0.1,,U
20PY000147,7/21/2019 10:45,1,Arsenic Total,107906,0.36,UG/L,0.01,,U
20PY000213,11/17/2019 9:45,1,Carbon Total Inorganic,100531,23500,UG/L,0.3,,U
20PY000226,12/15/2019 10:00,1,Tin Total,107931,0.006,UG/L,0.005,,U
21PY000254,1/10/2021 12:00,1,Molybdenum Total,107922,0.338,UG/L,0.006,,U
21PY000486,2/14/2021 11:30,1,Nitrogen Total,9326,260,UG/L,0.02,,U
21PY000486,2/14/2021 11:30,1,Chromium Total,107914,0.08,UG/L,0.01,,U
21PY000523,4/11/2021 11:05,1,Manganese Total,107921,324,UG/L,0.02,,U
21PY000646,6/13/2021 10:10,1,Sulphate Dissolved,8265,36800,UG/L,5,,U
21PY000646,6/13/2021 10:10,1,Residue nonfilterable,1145,5000,UG/L,2,,U
21PY000646,6/13/2021 10:10,1,Antimony Total,107929,0.062,UG/L,0.004,,U
21PY000646,6/13/2021 10:10,1,Calcium Dissolved,1180,24500,UG/L,0.1,,U
21PY000887,9/12/2021 10:50,1,Zinc Dissolved,107975,32.7,UG/L,0.2,,U
21PY000912,8/8/2021 9:05,1,Bismuth Dissolved,107946,0.006,UG/L,0.001,,U
16PY005017,11/22/2015 11:40,1,Barium Total,107908,61.1,UG/L,0.05,,U
17PY005403,9/11/2016 10:40,1,Tungsten Total,107937,0.004,UG/L,0.001,,U
17PY005543,4/17/2016 12:25,1,Cadmium Total,107911,0.196,UG/L,0.001,,U
17PY005593,10/10/2016 12:45,1,Gallium Total,107918,0.018,UG/L,0.001,,U
17PY005315,5/15/2016 10:50,1,Hardness total,10602,68900,UG/L,0.7,,U
17PY005332,6/12/2016 11:00,1,Gallium Total,107918,0.013,UG/L,0.001,,U
17PY005706,7/24/2016 10:35,1,Lead Total,107925,2,UG/L,0.005,,U
17PY005706,7/24/2016 10:35,1,Tungsten Total,107937,0.008,UG/L,0.001,,U
17PY005797,11/13/2016 11:15,1,Copper Total,107916,0.58,UG/L,0.05,,U
17PY005817,8/12/2016 11:18,1,Temperature (air),97060,14.8,DEG C,-100,,U
17PY005888,3/13/2016 10:45,1,Gallium Total,107918,0.02,UG/L,0.001,,U
17PY006219,4/17/2017 11:05,1,Yttrium Total,107938,0.066,UG/L,0.001,,U
17PY006219,4/17/2017 11:05,1,Silicon Dissolved,1175,5900,UG/L,0.05,,U
17PY006307,5/22/2017 10:15,1,Barium Total,107908,35.9,UG/L,0.05,,U
17PY006307,5/22/2017 10:15,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
17PY006329,6/18/2017 9:55,1,Zinc Total,107939,15.6,UG/L,0.2,,U
17PY006329,6/18/2017 9:55,1,Nitrogen Total,1130,280,UG/L,0.02,,U
17PY006329,6/18/2017 9:55,1,Silicon Dissolved,1175,4300,UG/L,0.05,,U
17PY006673,9/17/2017 10:31,1,Manganese Total,107921,823,UG/L,0.05,,U
17PY006673,9/17/2017 10:31,1,Carbon Total Inorganic,100531,21500,UG/L,0.3,,U
17PY006673,9/17/2017 10:31,1,Temperature (air),97060,6,DEG C,-100,,U
18PY005062,10/15/2017 11:20,1,Calcium Dissolved,1180,77400,UG/L,0.1,,U
18PY005322,12/17/2017 10:27,1,Copper Total,107916,0.4,UG/L,0.05,,U
18PY005322,12/17/2017 10:27,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
18PY005322,12/17/2017 10:27,1,pH,10301,8,PH,0.01,,U
18PY005334,1/14/2018 11:20,1,Nitrogen Total Dissolved,7657,350,UG/L,0.02,,U
18PY005620,2/11/2018 10:40,1,pH,10301,7.89,PH,0.01,,U
17PY006307,5/22/2017 10:15,1,Temperature (air),97060,8.5,DEG C,-100,,U
17PY006329,6/18/2017 9:55,1,Residue nonfilterable,1145,2000,UG/L,2,L,U
17PY006530,7/16/2017 11:24,1,Copper Total,107916,0.95,UG/L,0.05,,U
17PY006530,7/16/2017 11:24,1,Carbon Dissolved Organic,201145,3400,UG/L,0.3,,U
17PY006552,8/13/2017 10:04,1,Zinc Total,107939,29.2,UG/L,0.2,,U
17PY006552,8/13/2017 10:04,1,Residue nonfilterable,1145,2000,UG/L,2,L,U
17PY006673,9/17/2017 10:31,1,Nitrogen Total,1130,290,UG/L,0.02,,U
17PY006673,9/17/2017 10:31,1,Phosphorus Total Dissolved,15102,0.5,UG/L,0.0005,L,U
18PY005062,10/15/2017 11:20,1,Bismuth Total,107910,0.001,UG/L,0.001,L,U
18PY005313,11/13/2017 11:00,1,Phosphorus Total Dissolved,15102,0.5,UG/L,0.0005,,U
18PY005334,1/14/2018 11:20,1,Chromium Total,107914,0.06,UG/L,0.02,,U
18PY005334,1/14/2018 11:20,1,Temperature (air),97060,-3.1,DEG C,-100,,U
18PY005334,1/14/2018 11:20,1,pH,10301,8.13,PH,0.01,,U
18PY005334,1/14/2018 11:20,1,Silicon Dissolved,1175,5900,UG/L,0.05,,U
18PY005683,3/11/2018 10:15,1,Chromium Total,107914,0.05,UG/L,0.02,,U
18PY005931,5/21/2018 10:35,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
18PY006106,6/10/2018 9:25,1,Arsenic Total,107906,0.33,UG/L,0.01,,U
18PY006127,7/15/2018 10:20,1,Arsenic Total,107906,0.32,UG/L,0.01,,U
18PY006127,7/15/2018 10:20,1,Cadmium Total,107911,0.051,UG/L,0.001,,U
18PY006127,7/15/2018 10:20,1,Cesium Total,107915,0.133,UG/L,0.001,,U
19PY000044,10/14/2018 10:30,1,Cerium Total,107912,0.126,UG/L,0.001,,U
19PY000127,11/18/2018 10:10,1,Carbon Total Inorganic,100531,32500,UG/L,0.3,,U
19PY000127,11/18/2018 10:10,1,Phosphorus Total Dissolved,15102,2,UG/L,0.0005,,U
19PY000127,11/18/2018 10:10,1,Calcium Dissolved,1180,73300,UG/L,0.1,,U
19PY000407,2/17/2019 12:40,1,Dissolved nitrogen nitrate,8266,205,UG/L,0.002,,U
19PY000576,3/10/2019 11:27,1,Antimony Total,107929,0.073,UG/L,0.001,,U
19PY000672,4/14/2019 10:28,1,pH,10301,8.04,PH,0.01,,U
19PY001308,8/18/2019 8:35,1,Bismuth Total,107910,0.001,UG/L,0.001,L,U
19PY001308,8/18/2019 8:35,1,Dissolved nitrogen nitrate,8266,220,UG/L,0.002,,U
20PY000147,7/21/2019 10:45,1,Tungsten Total,107937,0.006,UG/L,0.001,,U
20PY000147,7/21/2019 10:45,1,Temperature (water),1125,10,DEG C,-10,,U
21PY000502,3/7/2021 10:50,1,Sulphate Dissolved,8265,90000,UG/L,5,,U
21PY000502,3/7/2021 10:50,1,Nitrogen Total Dissolved,7657,290,UG/L,0.02,,U
21PY000523,4/11/2021 11:05,1,Carbon Dissolved Organic,201145,700,UG/L,0.3,,U
21PY000887,9/12/2021 10:50,1,Sulphate Dissolved,8265,110000,UG/L,5,,U
21PY000887,9/12/2021 10:50,1,pH,10301,8.06,PH,0.01,,U
21PY000887,9/12/2021 10:50,1,Molybdenum Dissolved,107958,0.403,UG/L,0.006,,U
17PY005403,9/11/2016 10:40,1,Nitrogen Total,1130,290,UG/L,0.02,,U
17PY005543,4/17/2016 12:25,1,Copper Total,107916,1.13,UG/L,0.05,,U
17PY005543,4/17/2016 12:25,1,Yttrium Total,107938,0.273,UG/L,0.001,,U
17PY005593,10/10/2016 12:45,1,Cobalt Total,107913,2.25,UG/L,0.002,,U
17PY005593,10/10/2016 12:45,1,Alkalinity Total CaCO3,10111,123000,UG/L,1,,U
