Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
19PY000804,5/15/2019 12:55,1,Lithium Dissolved,107956,1.45,UG/L,0.01,,U
19PY000804,5/15/2019 12:55,1,Selenium Dissolved,107966,0.14,UG/L,0.01,,U
19PY000804,5/15/2019 12:55,1,Fluoride Dissolved,8261,30,UG/L,0.01,,U
19PY000808,5/29/2019 12:30,1,Antimony Dissolved,107965,0.479,UG/L,0.001,,U
20PY000210,10/30/2019 14:10,1,Copper Dissolved,107952,0.44,UG/L,0.05,,U
20PY000219,12/2/2019 13:15,1,Beryllium Total,107909,0.001,UG/L,0.001,,U
20PY000310,1/6/2020 14:35,1,Cadmium Dissolved,107947,0.008,UG/L,0.001,,U
20PY000316,1/20/2020 14:10,1,Selenium Dissolved,107966,0.37,UG/L,0.01,,U
20PY000316,1/20/2020 14:10,1,Titanium Total,107933,0.42,UG/L,0.05,,U
20PY000328,2/18/2020 12:40,1,Copper Dissolved,107952,0.4,UG/L,0.05,,U
21PY000261,1/12/2021 15:00,1,Iron Dissolved,107953,11.6,UG/L,0.5,,U
21PY000503,3/9/2021 15:20,1,Cadmium Dissolved,107947,0.01,UG/L,0.002,,U
15PY006057,8/3/2015 15:40,1,Phosphorus Total,15406,2.2,UG/L,0.0005,,U
18PY005626,2/12/2018 12:45,1,Specific Conductance,2041,418,USIE/CM,2,,U
18PY005645,2/27/2018 14:50,1,Cyanide weak acid dissociable,109642,5,UG/L,0.005,L,U
18PY005834,9/20/2016 13:45,1,Titanium Dissolved,107969,0.15,UG/L,0.05,,U
18PY005930,5/14/2018 15:00,1,Arsenic Dissolved,107942,5.13,UG/L,0.01,,U
18PY005813,4/16/2018 14:50,1,Boron Total,107907,1.6,UG/L,0.5,,U
18PY005813,4/16/2018 14:50,1,Iron Dissolved,107953,7.4,UG/L,0.5,,U
18PY006125,7/3/2018 14:45,1,Arsenic Dissolved,107942,3.17,UG/L,0.01,,U
18PY006230,7/16/2018 10:15,1,Sodium dissolved/filtered,1178,1900,UG/L,0.1,,U
18PY006236,7/30/2018 16:00,1,Sodium dissolved/filtered,1178,2100,UG/L,0.1,,U
18PY006311,8/15/2018 15:30,1,Vanadium Total,107936,0.22,UG/L,0.01,,U
19PY000040,9/18/2018 11:30,1,Cyanide weak acid dissociable,109642,5,UG/L,0.005,L,U
19PY000125,11/5/2018 14:30,1,Titanium Total,107933,0.32,UG/L,0.05,,U
19PY000137,11/20/2018 13:45,1,Titanium Dissolved,107969,0.05,UG/L,0.05,L,U
19PY000137,11/20/2018 13:45,1,Specific Conductance,2041,394,USIE/CM,2,,U
19PY000187,12/3/2018 14:15,1,Boron Total,107907,1.1,UG/L,0.5,,U
19PY000187,12/3/2018 14:15,1,Rubidium Dissolved,107964,0.806,UG/L,0.001,,U
19PY000411,2/18/2019 13:55,1,Arsenic Dissolved,107942,2.24,UG/L,0.01,,U
19PY000411,2/18/2019 13:55,1,Manganese Dissolved,107957,11.9,UG/L,0.05,,U
19PY000813,6/12/2019 9:45,1,Antimony Dissolved,107965,0.534,UG/L,0.001,,U
19PY000813,6/12/2019 9:45,1,Sodium dissolved/filtered,1178,1700,UG/L,0.1,,U
19PY001133,7/15/2019 13:05,1,Lithium Dissolved,107956,5.09,UG/L,0.01,,U
19PY001154,9/4/2019 14:00,1,Antimony Dissolved,107965,0.536,UG/L,0.001,,U
19PY001154,9/4/2019 14:00,1,Copper Dissolved,107952,0.64,UG/L,0.05,,U
20PY000073,9/18/2019 11:15,1,Manganese Dissolved,107957,8.2,UG/L,0.05,,U
20PY000076,10/2/2019 12:45,1,Titanium Dissolved,107969,0.05,UG/L,0.05,L,U
20PY000084,10/16/2019 13:40,1,Carbon Dissolved Inorganic,201144,27900,UG/L,0.3,,U
20PY000210,10/30/2019 14:10,1,Antimony Dissolved,107965,0.473,UG/L,0.001,,U
20PY000216,11/18/2019 12:50,1,Zirconium Total,6059,0.05,UG/L,0.01,,U
